dim,neg,train_file,use_pretrained_vector,val_tweets_f1_score,val_polemo_f1_score,val_wordnet_f1_score
100,5,train_polemo_tweets_data.txt,False,0.4064848498287116,0.6432561412462545,0.2761665031205598
100,5,train_wordnet_tweets_data.txt,False,0.24545768203023516,0.2780147610211383,0.4906973304856435
100,5,full_train_data.txt,False,0.3797112291523433,0.5548967544479959,0.3772386106440908
300,5,train_polemo_tweets_data.txt,False,0.4064765861914247,0.6426185943018006,0.2762392201726543
300,5,train_wordnet_tweets_data.txt,False,0.24923796412962806,0.27960610663434277,0.4891892541601889
300,5,full_train_data.txt,False,0.380915799101854,0.5550271021538116,0.3774571875543192
500,5,train_polemo_tweets_data.txt,False,0.40641279716854994,0.6426071868800122,0.276420386044425
500,5,train_wordnet_tweets_data.txt,False,0.25192358272927906,0.28039577816889577,0.4864995245590228
500,5,full_train_data.txt,False,0.38090817392494725,0.5550976662406074,0.37756887866192557
1000,5,train_polemo_tweets_data.txt,False,0.4056106095794714,0.6421933736657114,0.27610887116690846
1000,5,train_wordnet_tweets_data.txt,False,0.2573502433604188,0.28057793464284975,0.48308334039225365
1000,5,full_train_data.txt,False,0.38091947087890665,0.5551254219656885,0.37775869121471856
300,5,train_polemo_tweets_data.txt,True,0.3580166450211665,0.6349515660077942,0.3103481690429285
300,5,train_wordnet_tweets_data.txt,True,0.38802151674939633,0.28209249250047097,0.41814849046751784
300,5,full_train_data.txt,True,0.3931957400620498,0.6276585507354966,0.382694257319829
100,25,train_polemo_tweets_data.txt,False,0.4037742444151113,0.6476731103663166,0.2823448486500364
100,25,train_wordnet_tweets_data.txt,False,0.252578779530426,0.2586960874008558,0.4218306895247722
100,25,full_train_data.txt,False,0.3878659711503446,0.5542614902746171,0.3753135136800358
300,25,train_polemo_tweets_data.txt,False,0.4037742444151113,0.647807460225013,0.28197733563573113
300,25,train_wordnet_tweets_data.txt,False,0.25486053123275915,0.26286685832103407,0.4188403056912041
300,25,full_train_data.txt,False,0.3864312475792896,0.5545408056685712,0.3754966832782836
500,25,train_polemo_tweets_data.txt,False,0.40389035637332854,0.6474243050955336,0.28192497479182593
500,25,train_wordnet_tweets_data.txt,False,0.2547196029362876,0.26440268767531483,0.3935544887498169
500,25,full_train_data.txt,False,0.3863714707567604,0.5545330733642395,0.3753747829778935
1000,25,train_polemo_tweets_data.txt,False,0.40389035637332854,0.6474816576311023,0.2817316481582891
1000,25,train_wordnet_tweets_data.txt,False,0.2556849669013031,0.26704077618919647,0.40327176413136623
1000,25,full_train_data.txt,False,0.3863714707567604,0.5545299299254991,0.3756170544521511
300,25,train_polemo_tweets_data.txt,True,0.3751286073574388,0.6303955202317699,0.30103208888231825
300,25,train_wordnet_tweets_data.txt,True,0.37874142942490446,0.2875309017860991,0.4072115132501645
300,25,full_train_data.txt,True,0.4063066712637138,0.6257572245016981,0.3753823607864667
100,50,train_polemo_tweets_data.txt,False,0.39928758702257366,0.6461471909095372,0.2837858738624579
100,50,train_wordnet_tweets_data.txt,False,0.26477360415401213,0.25418165090715833,0.3566758538268959
100,50,full_train_data.txt,False,0.3712033900505206,0.5553897949622982,0.3732199250668962
300,50,train_polemo_tweets_data.txt,False,0.4003025863724049,0.6458823890499344,0.28347568157288217
300,50,train_wordnet_tweets_data.txt,False,0.27157428657825033,0.258601272874318,0.3557357838624967
300,50,full_train_data.txt,False,0.3724156316355387,0.5557726054078463,0.3731754288493699
500,50,train_polemo_tweets_data.txt,False,0.4017530438097044,0.64540754010641,0.2835780417864293
500,50,train_wordnet_tweets_data.txt,False,0.2752073073021667,0.259324193385725,0.35279627993429374
500,50,full_train_data.txt,False,0.37233202243428243,0.5559092358116375,0.37327814033861073
1000,50,train_polemo_tweets_data.txt,False,0.4017530438097044,0.6453760450618738,0.28343761085342895
1000,50,train_wordnet_tweets_data.txt,False,0.27605996743179684,0.2616809842565724,0.3489536647718466
1000,50,full_train_data.txt,False,0.370295790098779,0.5558551124848277,0.3733907680944844
300,50,train_polemo_tweets_data.txt,True,0.3882095956659963,0.630060011107987,0.29711436301821326
300,50,train_wordnet_tweets_data.txt,True,0.3681434378974015,0.28833627649693555,0.4055899713691014
300,50,full_train_data.txt,True,0.39833642247573153,0.6260462928919593,0.375579174151046
